1,2018-08-27 07:57:38,儿歌三百首,人渣呀！嘀嘀对司机的审查不足。出租车也好不到哪去，一并整改吧。
2,2018-08-27 07:55:39,北仁子儿,的士，滴滴顺风车，晚上承搭必定存在生命风险。特别后半夜就是犯罪的凶险时间，搭车的人一点不能掉以轻心。多宗死人奸杀案车人到偏远处下手，可怜妹妹姐姐就这样离开人间，带着什么都没有用了。治安，治安？呼唤治安。
3,2018-08-27 08:26:27,常想一二,告诉我嫌犯是哪里人？
4,2018-08-27 09:11:22,陌上花开,四年前，我从家到一个兼职公司去上班。下午三点半打车。出租车。市内。司机是一个二十五岁左右，带着眼镜，挺瘦小的小伙子。我坐后排靠右的位置。公司位置在城市的南中环路附近。到了该下快速路桥的口，司机继续往前走，我就提醒了他一下。他说他一脚油门开过了，下个路口给我转回来。到这里，我俩语言沟通都是正常的。结果他一直开，转了几圈立交桥，向市外郊区开去，但是是那种快速路。当时路上没什么车，我很紧张，一再和他沟通，问他要去哪里，要求他送我回去.他一言不发，只是加快速度开车。我沟通了七八分钟，都是这样。正好工作中认识一个交警朋友，我就一个电话打过去，我也没叫名字，我就称呼×警官，把现在的情形说了说。这时候司机终于开口了，问，“你想干嘛”我说“我想回去呀，你想干嘛”那个交警朋友说他就在附近巡逻，问我具体地点，要不要他过来，我担心司机狗急跳墙，我看着快速路旁边的提示牌报了非常精确的位置，说不用他过来，和我保持通话就行。司机就开始调转方向送我回市区。直到下了车我才挂断电话，还记住了他的车牌号。当时也是考虑要不要报警。可是担心没有造成实质伤害，警察👮不立案。我在车上还算冷静，积极寻求帮助，下了车给吓懵了。
5,2018-08-27 09:14:26,A 监控+KVM系统～姚生,1. 最严重的问题是案发前一天也坐过案犯车的林女士差点遭到案犯的伤害，因为林女士强硬的在有车流量的地方下车，没有遇害，但是她把情况反应给滴滴平台，平台没有重视，第二天这个女孩就遇害了，　　2. 滴滴从没有把人的性命当回事，只为赚钱！　　3. 滴滴还说“以后发生在滴滴平台的所有刑事案件，滴滴都会3倍补偿” 这说明了什么，有钱了不起来。 为什么不说杜绝类似事情发生了。 3倍补偿能让20岁少女回到家人怀抱吗？　　4. 受害女生的朋友诉述：“24日下午13:30，被害人在我们朋友的微信群中确认已在车上，下午14:09，被害人在微信群中表示进入无人山区，下午14:14，她向另一位朋友发布&quot;救命&quot;、&quot;抢救&quot;的信息。在微信群中接受到消息的X某向受害人拨打电话，但处于关机状态，随即X某与我联系，并向我阐明疑虑。” 可结果呢？任何回复，任何救援措施都没有！！！
6,2018-08-27 08:03:37,🔥乔巴🔥,希望警方好好录口供、1、受害女孩找到衣服是完整的，难道嫌疑犯侵犯女孩之后还帮人家穿好衣服？2、还是侵犯未遂才杀人灭口？3、嫌犯为什么要这样做？4、对于林小姐一事就开始谋划了，是不是那天就想好奸杀了？等等问题，能不能好好录口供！
7,2018-08-27 08:28:01,自强不息,这件事我认为滴滴客服耽误了最佳营救时间，看看客服和警察的聊天记录，人命关天的时候还在哪磨磨唧唧，等待技术人员回复，草你大爷的，遇到这件事要及时果断处理，滴滴要找到这辆车是很容易的事情，哎……
8,2018-08-27 07:43:42,唯E.Y.C.K.O.🍆,再老实本分，杀人犯家属身份洗白不了，生来不教家长之过，这些人就他妈顾一时之爽，带的什么东西
9,2018-08-27 08:41:17,黎工,如果铁了心想杀人。再怎么预防都是没用的。但是有一些手段可以减低被施暴的概率。太远的不要打滴滴，尤其是要经过郊外或者偏僻的地方。不要深夜打车。如果非要这样做，请上车前拍好车牌号。还有是联系好接车的人，保持畅通，随时报告现在身在何方。还有一点，在车上不要和司机起冲突。有话好好说，下车了再算账。千万不要因为鸡毛蒜皮的事情和司机吵起来。开车不说话，说话不开车。这些不只是针对滴滴，而是所有的出租车、黑车。出门在外，万事小心。
10,2018-08-27 07:55:54,Roc、|▍,他还有个16的女友 感情还不错 半年欠下56笔现金贷 花光家里所有的钱 又是买车 又是开奶茶店 出事那天还回家跟他妈说出大事 结果他妈吓晕倒了
11,2018-08-27 07:55:54,Roc、|▍,他还有个16的女友 感情还不错 半年欠下56笔现金贷 花光家里所有的钱 又是买车 又是开奶茶店 出事那天还回家跟他妈说出大事 结果他妈吓晕倒了
12,2018-08-27 08:39:14,习惯丶就好,2.50才杀害 她2.10就发出求救如果闺蜜当时报警 是不是还可以活命 自己也傻知道有危险了还不打电话给家人打给闺蜜 别人有自己家人上心吗半天不报警错过了最佳时机
13,2018-08-27 09:25:00,细节打败爱情,这跟滴滴其实关系不大，一个人铁了心想杀人你怎么都没办法，这种人就是反社会人格，憎恨社会，仇视女性，认为受到不公平待遇的人，与其埋怨滴滴还不如想想如何在根子上改善并减少这种恶性案件的发生。
14,2018-08-27 08:04:14,丸九,一群社会上的神经病:明明杀人犯的错，却怪一个平台的错“没事故，平台就利你惠你；出事故，平台就害你坑你。这就是你实在的心态写照了吧！”……杀人犯(你生下来就是坏人吗？为什么要你变成杀人犯，为什么杀人)，警方(民众报警，为什么要先立案，再行动?为什么不立马行动，非要错过最佳黄金救援时间，还有“为什么没直接用警察机子找平台要嫌犯信息?”)，平台(为什么有罪犯在平台里，给罪犯提供了犯罪机会，活该倒闭吧“为什么有罪犯在社会上，还提供他生存，社会也该被谴责和赔偿”)有的人，你有钱，你家里也不缺，就站着说话不腰疼，公司或平台倒闭，失业的是谁？家里没有可观的收入，怎么维持家庭开销与和睦?又得多少人不平衡……
15,2018-08-27 08:45:31,海豚ば奇迹,为什么一定要坐呢？上次空姐的事情就已经沸沸扬扬了，还敢坐，还是单独一个人，每次看到这个就觉得好心痛，父母白发人送黑发人，得多伤心呀。说真心，我不敢坐，要嘛都是出租车、火车、大巴车，从来没有打过滴滴，更别说顺风车了，后果我承受不起，家人更承受不起。这个社会变态心理扭曲的人太多了，女孩子出门在外一定要注意安全，不要存在侥幸心理。
16,2018-08-27 07:53:44,兰博基尼,全国各地估计不止一个命案，只是有些地方把事件隐瞒了
